node,specimen_type_META_blood,specimen_type_META_urine
root,0.1527330179087188,0.8472669820912813
n0,0.1490658822409787,0.8509341177590213
n6161,0.1543537788608151,0.8456462211391849
n00,0.1145600033183575,0.8854399966816423
SAMN11319316,0.0,1.0
n62,0.1543537788608151,0.8456462211391849
n401401,0.1526570545562999,0.8473429454437001
n1,0.114560003318358,0.885439996681642
n15,0.113997785805626,0.8860022141943741
n6262,0.1567763141157444,0.8432236858842556
SAMN15868771,0.0,1.0
n402,0.1526257689303963,0.8473742310696036
SAMN11319305,0.0,1.0
n11,0.114560003318358,0.885439996681642
n13,0.1196864462046765,0.8803135537953236
n1515,0.1117474190605548,0.888252580939445
n5353,0.1241191735388913,0.8758808264611087
n63,0.160312343550169,0.839687656449831
n400400,0.1531786679831308,0.8468213320168693
n402402,0.1526257689303963,0.8473742310696036
n446446,0.1526857809570052,0.8473142190429949
n2,0.1172702758303391,0.8827297241696609
SAMN26308499,0.0,1.0
n1313,0.1214875089710609,0.878512491028939
SAMN11319282,0.0,1.0
n16,0.0983951973501475,0.9016048026498524
n4747,0.1280517311690744,0.8719482688309257
n54,0.1241191735388913,0.8758808264611087
n61,0.0297924217077428,0.9702075782922572
n6363,0.1565153478208266,0.8434846521791732
n395395,0.2166323242882323,0.7833676757117677
n401,0.1484785678438257,0.8515214321561742
SAMN11319341,0.0,1.0
n403,0.1515752776565563,0.8484247223434437
n409409,0.1478267940496865,0.8521732059503135
SAMN26308802,0.0,1.0
SAMN29599259,0.0,1.0
n22,0.160683136236504,0.8393168637634961
n1212,0.1276810563073004,0.8723189436926995
n14,0.1214875089710609,0.878512491028939
n1414,0.1107298564208536,0.8892701435791464
n1616,0.0983951973501475,0.9016048026498524
SAMN26304704,0.0,1.0
n48,0.1297349917557361,0.870265008244264
n51,0.1247581467035411,0.8752418532964588
n5454,0.1241191735388913,0.8758808264611087
SAMN15868530,0.0,1.0
SAMN26308493,0.0,1.0
SAMN26308471,0.0,1.0
n394394,0.1554959675540443,0.8445040324459556
n6464,0.1981670499283616,0.8018329500716385
n396,0.2038182483643746,0.7961817516356254
SAMN09405752,1.0,0.0
SAMN26309425,0.0,1.0
SAMN26304415,0.0,1.0
n403403,0.1515752776565563,0.8484247223434437
n408408,0.1443490250824032,0.8556509749175968
n410,0.1478267940496865,0.8521732059503135
n445,0.1470617290561525,0.8529382709438474
n3,0.1606831362365045,0.8393168637634955
SAMN26304325,0.0,1.0
SAMN26304479,0.0,1.0
SAMN11319166,0.0,1.0
SAMN11319335,0.0,1.0
SAMN26304705,0.0,1.0
SAMN06015664,0.0,1.0
SAMN11319389,0.0,1.0
n17,0.1051160733386562,0.8948839266613438
n1717,0.0983951973501475,0.9016048026498524
n4848,0.1322768295811777,0.8677231704188223
n50,0.1072917550789497,0.8927082449210502
n5151,0.1244450104272904,0.8755549895727096
SAMN26308484,0.0,1.0
n5555,0.118214124352753,0.8817858756472471
SAMN15868277,0.0,1.0
n395,0.1470271967055507,0.8529728032944492
SAMN11319169,0.0,1.0
n65,0.2351670355189199,0.7648329644810801
n245,0.197347257652411,0.802652742347589
n396396,0.2817734148014763,0.7182265851985238
n398398,0.2464102479921582,0.7535897520078418
n404,0.1524412632088746,0.8475587367911254
n407407,0.150324953143872,0.849675046856128
n409,0.1186296851228817,0.8813703148771183
SAMN13422978,0.0,1.0
n410410,0.1489715851056899,0.8510284148943102
n437437,0.1427925205290428,0.857207479470957
n445445,0.1465325350680719,0.853467464931928
SAMN26308785,0.0,1.0
n33,0.1251057586225817,0.8748942413774182
n55,0.1606831362365045,0.8393168637634955
SAMN10093631,0.0,1.0
SAMN11319386,0.0,1.0
n18,0.0983951973501475,0.9016048026498524
n1919,0.0983951973501475,0.9016048026498524
n49,0.0,1.0
SAMN26308474,0.0,1.0
n5050,0.0149514302001032,0.9850485697998967
SAMN09400814,0.0,1.0
n52,0.1244450104272904,0.8755549895727096
SAMN09400827,0.0,1.0
n56,0.1187656315103235,0.8812343684896765
n5656,0.1173606892290995,0.8826393107709004
SAMN13082356,0.0,1.0
SAMN11319163,0.0,1.0
n6565,0.2351670355189199,0.7648329644810801
SAMN27404441,0.0,1.0
n245245,0.1453700823279579,0.8546299176720421
n358358,0.197347257652411,0.802652742347589
n397,0.4788848881078971,0.5211151118921028
SAMN26305070,0.0,1.0
n399,0.2530866304966754,0.7469133695033245
SAMN26308892,0.0,1.0
n404404,0.1529545342545373,0.8470454657454628
SAMN26304506,0.0,1.0
n408,0.1347393745888548,0.8652606254111452
SAMN26304500,0.0,1.0
SAMN07325904,0.0,1.0
SAMN09405759,0.0,1.0
n411,0.1489130494062735,0.8510869505937265
n436,0.15064434559824,0.84935565440176
n438,0.142451958897847,0.8575480411021531
SAMN26309423,0.0,1.0
n446,0.0,1.0
SAMN09405758,0.0,1.0
n4,0.1198542408346811,0.8801457591653189
SAMN15868657,0.0,1.0
n6,0.2299716895723485,0.7700283104276514
n99,0.1606831362365045,0.8393168637634955
n1818,0.0983951973501475,0.9016048026498524
n19,0.1247306250531401,0.8752693749468599
n20,0.0983951973501475,0.9016048026498524
n2020,0.086292246170729,0.9137077538292708
n4949,0.0,1.0
SAMN26308486,0.0,1.0
SAMN09400832,0.0,1.0
SAMN09400804,1.0,0.0
n5252,0.2591317183398398,0.7408682816601602
SAMN05510454,0.0,1.0
SAMN15868897,0.0,1.0
SAMN26308481,0.0,1.0
n57,6.9825784892363545e-09,0.9999999930174216
SAMN26304604,0.0,1.0
n6666,0.2351670355189199,0.7648329644810801
n237237,0.2351670355189199,0.7648329644810801
n246,0.1322284090972284,0.8677715909027716
SAMN02801894,1.0,0.0
n359,0.0363271642627128,0.9636728357372872
n360,0.2563251356708793,0.7436748643291207
n397397,0.2776645852440823,0.7223354147559177
SAMN09405760,1.0,0.0
n399399,0.2862222627979632,0.7137777372020367
SAMN26308859,0.0,1.0
n405,0.1504334757261109,0.8495665242738891
n407,1.0,0.0
SAMN26308877,0.0,1.0
SAMN26308819,0.0,1.0
n411411,0.1424159826763833,0.8575840173236167
n435435,0.1223148254770124,0.8776851745229876
n436436,0.1500196266183265,0.8499803733816735
n437,0.1507530430269358,0.8492469569730642
n438438,0.1364908740179604,0.8635091259820395
n442,0.142451958897847,0.8575480411021531
SAMN26308875,0.0,1.0
SAMN26308867,0.0,1.0
n44,0.1198542408346811,0.8801457591653189
SAMN27407159,1.0,0.0
n66,0.0067752379977813,0.9932247620022188
n77,0.2933587346189625,0.7066412653810374
n10,0.1606831362365045,0.8393168637634955
SAMN29869135,1.0,0.0
SAMN25004485,1.0,0.0
SAMN04393386,0.0,1.0
SAMN10093600,0.0,1.0
SAMN26304603,0.0,1.0
SAMN26308494,0.0,1.0
SAMN26308477,0.0,1.0
n21,0.0558210227953462,0.9441789772046538
n4545,0.0104109652037816,0.9895890347962184
SAMN26305190,0.0,1.0
SAMN26308490,0.0,1.0
n53,0.0414628937527887,0.9585371062472112
SAMN09400879,1.0,0.0
n5757,6.9825784892363545e-09,0.9999999930174216
SAMN11335458,0.0,1.0
n67,0.2351670355189199,0.7648329644810801
n232,0.1599848545340205,0.8400151454659796
n238,0.3531318444929464,0.6468681555070536
n240,0.5483725463586431,0.451627453641357
n246246,0.1322284090972284,0.8677715909027716
n358,0.1526813676840139,0.8473186323159859
n359359,0.0363271642627128,0.9636728357372872
SAMN26308795,0.0,1.0
n360360,0.2470801629340273,0.7529198370659725
n361361,0.3194985143152706,0.6805014856847293
n398,0.0,1.0
SAMN26304755,0.0,1.0
n400,1.0,0.0
SAMN06680403,0.0,1.0
n405405,0.1313467468837056,0.8686532531162944
SAMN26305098,0.0,1.0
SAMN05194537,1.0,0.0
SAMN04622920,1.0,0.0
n412,0.1424159826763833,0.8575840173236167
n419419,0.1377484811081588,0.8622515188918412
SAMN26304502,0.0,1.0
SAMN26304496,0.0,1.0
SAMN10093587,0.0,1.0
SAMN26305030,0.0,1.0
SAMN26304414,0.0,1.0
SAMN26308862,0.0,1.0
n439,0.1364908740179604,0.8635091259820395
SAMN10093598,0.0,1.0
n442442,0.1475293671664084,0.8524706328335915
n443,0.1479192777829395,0.8520807222170605
n5,0.0332491810089827,0.9667508189910172
SAMN26304569,0.0,1.0
n7,0.0,1.0
SAMN26308491,0.0,1.0
n8,0.282728315826439,0.717271684173561
n9,0.2933587346189625,0.7066412653810374
n1010,0.1606831362365045,0.8393168637634955
n1111,0.1606831362365045,0.8393168637634955
n2121,0.0868246249121135,0.9131753750878864
n2525,0.0558210227953462,0.9441789772046538
n46,0.000808504620997,0.999191495379003
SAMN26308466,0.0,1.0
SAMN11285026,0.0,1.0
SAMN13622037,0.0,1.0
n58,6.9825784892363545e-09,0.9999999930174216
n6060,1.8772674373283357e-07,0.9999998122732564
n6767,0.2351670355189199,0.7648329644810801
n229,0.1861975001575581,0.813802499842442
n232232,0.1433751719464077,0.8566248280535922
SAMN06311519,0.0,1.0
n238238,0.995935379593678,0.0040646204063219
n239239,0.1941720818924371,0.8058279181075629
n240240,0.5483725463586431,0.451627453641357
SAMN13082391,0.0,1.0
n247,0.1481559237540648,0.8518440762459353
n248,0.1322284090972284,0.8677715909027716
SAMN27404335,0.0,1.0
SAMN27404364,1.0,0.0
SAMN26308794,1.0,0.0
SAMN26308814,0.0,1.0
n361,0.1380985013940439,0.861901498605956
SAMN13082267,0.0,1.0
n362,0.3225571225196879,0.6774428774803122
SAMN15868351,0.0,1.0
SAMN26308850,0.0,1.0
SAMN26308866,0.0,1.0
SAMN04122821,1.0,0.0
SAMN04339728,1.0,0.0
n406,0.1337300660032269,0.8662699339967731
SAMN11319406,0.0,1.0
n412412,0.1380976090729155,0.8619023909270844
SAMN26305099,0.0,1.0
n420,0.1372316686618917,0.8627683313381083
SAMN10093575,0.0,1.0
n439439,0.1424051623857325,0.8575948376142675
n441441,0.1335912455774938,0.8664087544225062
SAMN26308806,0.0,1.0
SAMN13422992,0.0,1.0
n443443,0.1479192777829389,0.852080722217061
SAMN27404411,0.0,1.0
SAMN07450852,0.0,1.0
SAMN05510453,0.0,1.0
SAMN26308496,0.0,1.0
SAMN26308497,0.0,1.0
n88,0.9674205079189384,0.0325794920810615
SAMN09400839,0.0,1.0
SAMN28174092,1.0,0.0
SAMN26366668,0.0,1.0
SAMN27404383,0.0,1.0
SAMN28174009,1.0,0.0
n12,0.0,1.0
SAMN15868239,0.0,1.0
n2222,0.0933458402881546,0.9066541597118452
SAMN26308492,0.0,1.0
n26,0.07043694866926,0.92956305133074
n28,0.0558210227953462,0.9441789772046538
n4646,0.0,1.0
n47,6.939117892082501e-05,0.9999306088210792
n5858,6.9825784892363545e-09,0.9999999930174216
SAMN11335454,0.0,1.0
SAMN11335449,0.0,1.0
SAMN11335455,0.0,1.0
n68,0.1586104334171463,0.8413895665828537
n136136,0.2351670355189199,0.7648329644810801
n229229,0.1666529044033305,0.8333470955966694
SAMN13082281,0.0,1.0
n233,0.076825216015992,0.923174783984008
n236,0.1002667839894869,0.8997332160105131
n239,0.9951113944181912,0.0048886055818089
SAMN02801890,1.0,0.0
SAMN13622048,0.0,1.0
SAMN09400875,0.0,1.0
n241,0.5483725463586431,0.451627453641357
SAMN15868698,0.0,1.0
n247247,0.4088298483181679,0.5911701516818321
SAMN05463123,0.0,1.0
